id	Species	Strain	Health	Category	Number
aur_AD	aur	197	AD	NonVir	-0.801597938
aur_AD	aur	198	AD	NonVir	-0.798225131
aur_AD	aur	199	AD	NonVir	-0.798225131
aur_AD	aur	280	AD	NonVir	-0.831931818
aur_AD	aur	281	AD	NonVir	-0.83228
aur_AD	aur	282	AD	NonVir	-0.814
aur_AD	aur	355	AD	NonVir	-0.808061856
aur_AD	aur	356	AD	NonVir	-0.813302564
aur_AD	aur	357	AD	NonVir	-0.811948454
aur_AD	aur	365	AD	NonVir	-0.796333333
aur_AD	aur	366	AD	NonVir	-0.796333333
aur_AD	aur	367	AD	NonVir	-0.798172043
aur_AD	aur	N4	AD	NonVir	-0.822319149
aur_AD	aur	N5	AD	NonVir	-0.822319149
aur_AD	aur	N6	AD	NonVir	-0.822319149
aur_HE	aur	200	HE	NonVir	-0.805640625
aur_HE	aur	201	HE	NonVir	-0.805640625
aur_HE	aur	202	HE	NonVir	-0.805640625
aur_HE	aur	317	HE	NonVir	-0.805912037
aur_HE	aur	318	HE	NonVir	-0.800847222
aur_HE	aur	319	HE	NonVir	-0.811552036
aur_HE	aur	322	HE	NonVir	-0.807214286
aur_HE	aur	323	HE	NonVir	-0.796583333
aur_HE	aur	324	HE	NonVir	-0.796459716
aur_HE	aur	327	HE	NonVir	-0.805259067
aur_HE	aur	328	HE	NonVir	-0.804484536
aur_HE	aur	329	HE	NonVir	-0.791806763
aur_HE	aur	332	HE	NonVir	-0.801724324
aur_HE	aur	333	HE	NonVir	-0.803541667
aur_HE	aur	334	HE	NonVir	-0.798064516
